E1101,8.0,2018-11-26
E1102,7.0,2018-11-26
E1103,8.5,2018-11-26
E1101,8.0,2018-11-27
E1102,7.0,2018-11-27
E1103,8.5,2018-11-27
E1101,8.0,2018-11-28
E1102,7.0,2018-11-28
E1103,8.5,2018-11-28
E1101,8.0,2018-11-29
E1102,7.0,2018-11-29
E1103,8.5,2018-11-29
E1101,8.0,2018-11-30
E1102,7.0,2018-11-30
E1103,8.5,2018-11-30
E1101,8.0,2018-12-03
E1102,7.0,2018-12-03
E1103,8.5,2018-12-03
E1101,8.0,2018-12-04
E1102,7.0,2018-12-04
E1103,8.5,2018-12-04
E1101,8.0,2018-12-05
E1102,7.0,2018-12-05
E1103,8.5,2018-12-05
E1101,8.0,2018-12-06
E1102,7.0,2018-12-06
E1103,8.5,2018-12-06
E1101,8.0,2018-12-07
E1102,7.0,2018-12-07
E1103,8.5,2018-12-07
